stop_id,trip_id,[times]
3716786,11234,[7:37:01]
3716786,18368,[7:30:00]
3716786,18608,[7:33:00]
3716786,22527,[7:35:00]
3716786,23272,[8:09:00]
3716786,23297,[7:47:00]
3716786,23303,[7:42:00]
3716786,23305,[8:40:00]
3716786,23596,[8:11:00]
3716786,23667,[8:04:00]
3716786,23700,[7:22:00]
3716786,24214,[8:12:45]
3716786,24618,[7:44:29]
3716786,9248,[7:36:00]
3716786,9249,[7:38:00]
3716786,9252,[7:39:17]
3716790,11234,[8:37:01]
3716790,18368,[8:30:00]
3716790,18608,[8:33:00]
3716790,22527,[8:35:00]
3716790,23272,[9:09:00]
3716790,23297,[8:47:00]
3716790,23303,[8:42:00]
3716790,23305,[9:40:00]
3716790,23596,[9:11:00]
3716790,23667,[9:04:00]
3716790,23700,[8:22:00]
3716790,24214,[9:12:45]
3716790,24618,[8:44:29]
3716790,9248,[8:36:00]
3716790,9249,[8:38:00]
3716790,9252,[8:39:17]
3716792,11234,[12:07:01]
3716792,18368,[12:00:00]
3716792,18608,[12:03:00]
3716792,22527,[12:05:00]
3716792,23272,[12:39:00]
3716792,23297,[12:17:00]
3716792,23303,[12:12:00]
3716792,23305,[13:10:00]
3716792,23596,[12:41:00]
3716792,23667,[12:34:00]
3716792,23700,[11:52:00]
3716792,24214,[12:42:45]
3716792,24618,[12:14:29]
3716792,9248,[12:06:00]
3716792,9249,[12:08:00]
3716792,9252,[12:09:17]
3716794,11234,[14:07:01]
3716794,18368,[14:00:00]
3716794,18608,[14:03:00]
3716794,22527,[14:05:00]
3716794,23272,[14:39:00]
3716794,23297,[14:17:00]
3716794,23303,[14:12:00]
3716794,23305,[15:10:00]
3716794,23596,[14:41:00]
3716794,23667,[14:34:00]
3716794,23700,[13:52:00]
3716794,24214,[14:42:45]
3716794,24618,[14:14:29]
3716794,9248,[14:06:00]
3716794,9249,[14:08:00]
3716794,9252,[14:09:17]
3716796,18368,[16:10:00]
3716796,23297,[16:20:00]
3716796,23305,[17:00:00]
3716796,23667,[16:35:00]
3716796,23700,[16:02:00]
3716797,11823,[14:31:00]
3716797,12113,[14:30:00]
3716797,18368,[14:37:00]
3716797,20789,[14:33:00]
3716797,23270,[14:22:00]
3716797,23271,[14:28:58]
3716797,23273,[13:54:00]
3716797,23297,[14:17:00]
3716797,23305,[13:30:00]
3716797,23417,[14:25:47]
3716797,23595,[13:32:00]
3716797,23596,[13:52:00]
3716797,23667,[13:59:00]
3716797,23700,[14:47:00]
3716797,24209,[13:49:17]
3716797,24619,[14:19:33]
3716797,9300,[14:28:00]
3716800,11823,[16:37:00]
3716800,12113,[16:36:00]
3716800,18368,[16:43:00]
3716800,20789,[16:39:00]
3716800,23270,[16:28:00]
3716800,23271,[16:34:58]
3716800,23273,[15:59:00]
3716800,23297,[16:22:00]
3716800,23305,[15:35:00]
3716800,23417,[16:31:47]
3716800,23595,[15:37:00]
3716800,23596,[15:57:00]
3716800,23667,[16:04:00]
3716800,23700,[16:53:00]
3716800,24209,[15:54:17]
3716800,24619,[16:25:04]
3716800,9300,[16:34:00]
3716802,11823,[18:17:00]
3716802,12113,[18:16:00]
3716802,18368,[18:23:00]
3716802,20789,[18:19:00]
3716802,23270,[18:08:00]
3716802,23271,[18:14:58]
3716802,23273,[17:39:00]
3716802,23297,[18:02:00]
3716802,23305,[17:15:00]
3716802,23417,[18:11:47]
3716802,23595,[17:17:00]
3716802,23596,[17:37:00]
3716802,23667,[17:44:00]
3716802,23700,[18:33:00]
3716802,24209,[17:34:17]
3716802,24619,[18:05:04]
3716802,9300,[18:14:00]
3716806,11823,[22:17:00]
3716806,12113,[22:16:00]
3716806,18368,[22:23:00]
3716806,20789,[22:19:00]
3716806,23270,[22:10:00]
3716806,23271,[22:14:58]
3716806,23273,[21:47:00]
3716806,23297,[22:06:00]
3716806,23417,[22:12:31]
3716806,23595,[21:30:00]
3716806,23596,[21:45:00]
3716806,23667,[21:51:00]
3716806,23700,[22:33:00]
3716806,24209,[21:42:58]
3716806,24619,[22:08:03]
3716806,9300,[22:14:00]
