stop_id,stop_code,name,lat,lon
4767,820078,UNIVERSITY AVE @ 1235 S,40.217026,-111.658798
4772,820083,UNIVERSITY AVE @ 95 S,40.232621,-111.658559
4814,117107,1000 N @ 1338 W,40.791124,-111.929984
4821,117015,REDWOOD RD @ 720 N,40.785345,-111.939231
4874,117066,REDWOOD RD @ 120 N,40.772549,-111.939112
4876,117068,REDWOOD RD @ 20 N,40.770221,-111.939079
4879,117071,1460 W @ 289 N,40.775599,-111.933402
4886,116015,NORTH TEMPLE ST @ 2160 W,40.771646,-111.952717
4894,116023,2200 W @ 1220 N,40.796258,-111.953508
4895,116025,2200 W @ 1201 N,40.795003,-111.953654
4898,116028,2200 W @ 635 N,40.783537,-111.953655
4901,116031,2200 W @ 325 N,40.776621,-111.953656
4948,116003,NORTH TEMPLE ST @ 2242 W,40.771609,-111.954662
4978,823100,MAIN ST @ 444 S,40.160549,-111.610855
5006,109126,MAIN ST @ 1 N    (BOUNTIFUL),40.889465,-111.880806
5053,633087,MAIN ST @ 2030 N   (LAYTON),41.090395,-112.002129
5060,633094,STATE ST @ 595 S,41.104936,-112.01669
5063,633097,MAIN ST @ 656 N,41.123767,-112.025901
5068,633102,MAIN ST @ 1802 N    (SUNSET),41.140349,-112.025912
5093,805055,STATE ST @ 183 N,40.381202,-111.813995
5100,805062,MAIN ST @ 54 E,40.376704,-111.796726
5127,805090,STATE ST @ 97 E,40.397372,-111.848046
5198,107026,CHASE LN @ 50 E,40.929062,-111.878032
5202,109003,400 E @ 347 N,40.921093,-111.872367
5267,109094,400 N @ 669 E,40.894085,-111.867474
5310,104024,MAIN ST @ 1170 N,40.999881,-111.899461
5343,629172,HARRISON BLVD @ 4605 S   (OGDEN),41.179281,-111.949339
5370,806006,MAIN ST @ 155 S,40.361893,-111.740666
5394,806030,MAIN ST @ 150 S,40.362005,-111.740797
5479,125021,200 S @ 255 W,40.764882,-111.898931
5481,125023,200 S @ 125 W,40.764869,-111.894645
5482,126530,200 S @ 120 E,40.764879,-111.887523
5491,117004,NORTH TEMPLE ST @ 298 W,40.771635,-111.899401
5492,117005,NORTH TEMPLE ST @ 275 W,40.771412,-111.898568
5493,117006,NORTH TEMPLE ST @ 175 W,40.771406,-111.895316
5498,126507,STATE ST @ 160 S,40.765909,-111.888373
5502,126511,STATE ST @ 355 S,40.761412,-111.888079
5504,126513,STATE ST @ 185 S,40.76587,-111.888062
5531,125013,Courthouse Station,40.760792,-111.891872
5635,817036,2230 N @ 446 W,40.263511,-111.665425
5644,817045,TEMPLE HILL DR @ 2085 N,40.262558,-111.641652
5691,817077,TEMPLE HILL DR @ 2120 N,40.262551,-111.641336
5699,817085,2230 N @ 210 W,40.263524,-111.661618
5702,817088,UNIVERSITY PKWY @ 2266 N,40.263677,-111.667945
5774,821022,STATE ST @ 2390 S,40.201583,-111.621632
5881,172168,10600 S @ 55 E,40.558982,-111.891668
5892,135263,4000 W @ 4071 S,40.682831,-111.986537
5900,135271,3500 S @ 3955 W,40.696503,-111.985301
