stop_id,trip_id,time
3754048,11234,6:11:01
3754048,18368,6:05:00
3754048,18608,6:07:00
3754048,22527,6:09:00
3754048,23297,6:22:00
3754048,23303,6:16:00
3754048,23693,6:38:00
3754048,23700,5:57:00
3754048,24618,6:19:08
3754048,24795,7:00:00
3754048,9248,6:10:00
3754048,9249,6:12:00
3754048,9252,6:13:17
3754051,11234,7:45:01
3754051,18368,7:38:00
3754051,18608,7:41:00
3754051,22527,7:43:00
3754051,23297,7:57:00
3754051,23303,7:51:00
3754051,23693,8:15:00
3754051,23700,7:30:00
3754051,24618,7:54:08
3754051,24795,8:37:00
3754051,9248,7:44:00
3754051,9249,7:46:00
3754051,9252,7:47:37
3754054,11234,9:07:01
3754054,18368,9:00:00
3754054,18608,9:03:00
3754054,22527,9:05:00
3754054,23297,9:19:00
3754054,23303,9:13:00
3754054,23693,9:37:00
3754054,23700,8:52:00
3754054,24618,9:16:08
3754054,24795,9:59:00
3754054,9248,9:06:00
3754054,9249,9:08:00
3754054,9252,9:09:37
3754055,11234,7:07:01
3754055,18368,7:00:00
3754055,18608,7:03:00
3754055,22527,7:05:00
3754055,23297,7:19:00
3754055,23303,7:13:00
3754055,23693,7:37:00
3754055,23700,6:52:00
3754055,24618,7:16:08
3754055,24795,7:59:00
3754055,9248,7:06:00
3754055,9249,7:08:00
3754055,9252,7:09:37
3754057,11823,16:11:00
3754057,12113,16:10:00
3754057,18368,16:18:00
3754057,20789,16:14:00
3754057,23270,16:02:00
3754057,23271,16:08:58
3754057,23297,15:56:00
3754057,23417,16:05:47
3754057,23693,15:38:00
3754057,23700,16:28:00
3754057,24619,15:58:58
3754057,24795,15:20:00
3754057,9299,16:07:27
3754057,9300,16:08:00
3754060,11823,17:36:00
3754060,12113,17:35:00
3754060,18368,17:43:00
3754060,20789,17:39:00
3754060,23270,17:27:00
3754060,23271,17:33:58
3754060,23297,17:21:00
3754060,23417,17:30:47
3754060,23693,17:03:00
3754060,23700,17:53:00
3754060,24619,17:23:58
3754060,24795,16:45:00
3754060,9299,17:32:27
3754060,9300,17:33:00
3754063,11823,18:21:00
3754063,12113,18:20:00
3754063,18368,18:28:00
3754063,20789,18:24:00
3754063,23270,18:12:00
3754063,23271,18:18:58
3754063,23297,18:06:00
3754063,23417,18:15:47
3754063,23693,17:48:00
3754063,23700,18:38:00
3754063,24619,18:08:58
3754063,24795,17:30:00
3754063,9299,18:17:27
3754063,9300,18:18:00
3754066,11234,7:01:01
3754066,18368,6:55:00
3754066,18608,6:57:00
3754066,22527,6:59:00
3754066,23272,7:31:00
3754066,23297,7:10:00
3754066,23303,7:06:00
3754066,23305,7:57:00
3754066,23596,7:33:00
3754066,23667,7:26:00
3754066,23700,6:47:00
3754066,24214,7:35:22
3754066,24618,7:07:59
3754066,9248,7:00:00
3754066,9249,7:02:00
3754066,9252,7:03:17
3754068,11234,7:37:01
3754068,18368,7:30:00
3754068,18608,7:33:00
3754068,22527,7:35:00
3754068,23272,8:09:00
3754068,23297,7:47:00
3754068,23303,7:42:00
3754068,23305,8:40:00
3754068,23596,8:11:00
3754068,23667,8:04:00
3754068,23700,7:22:00
3754068,24214,8:12:45
3754068,24618,7:44:29
3754068,9248,7:36:00
3754068,9249,7:38:00
3754068,9252,7:39:17
3754071,11234,8:37:01
3754071,18368,8:30:00
3754071,18608,8:33:00
3754071,22527,8:35:00
3754071,23272,9:09:00
3754071,23297,8:47:00
3754071,23303,8:42:00
3754071,23305,9:40:00
3754071,23596,9:11:00
3754071,23667,9:04:00
3754071,23700,8:22:00
3754071,24214,9:12:45
3754071,24618,8:44:29
3754071,9248,8:36:00
3754071,9249,8:38:00
3754071,9252,8:39:17
3754072,11234,12:07:01
3754072,18368,12:00:00
3754072,18608,12:03:00
3754072,22527,12:05:00
3754072,23272,12:39:00
3754072,23297,12:17:00
3754072,23303,12:12:00
3754072,23305,13:10:00
3754072,23596,12:41:00
3754072,23667,12:34:00
3754072,23700,11:52:00
3754072,24214,12:42:45
3754072,24618,12:14:29
3754072,9248,12:06:00
3754072,9249,12:08:00
3754072,9252,12:09:17
3754075,11234,14:07:01
3754075,18368,14:00:00
3754075,18608,14:03:00
3754075,22527,14:05:00
3754075,23272,14:39:00
3754075,23297,14:17:00
3754075,23303,14:12:00
3754075,23305,15:10:00
3754075,23596,14:41:00
3754075,23667,14:34:00
3754075,23700,13:52:00
3754075,24214,14:42:45
3754075,24618,14:14:29
3754075,9248,14:06:00
3754075,9249,14:08:00
3754075,9252,14:09:17
3754077,18368,16:10:00
3754077,23297,16:20:00
3754077,23305,17:00:00
3754077,23667,16:35:00
3754077,23700,16:02:00
3754079,11823,14:31:00
3754079,12113,14:30:00
3754079,18368,14:37:00
3754079,20789,14:33:00
3754079,23270,14:22:00
3754079,23271,14:28:58
3754079,23273,13:54:00
3754079,23297,14:17:00
3754079,23305,13:30:00
3754079,23417,14:25:47
3754079,23595,13:32:00
3754079,23596,13:52:00
3754079,23667,13:59:00
3754079,23700,14:47:00
3754079,24209,13:49:17
3754079,24619,14:19:33
3754079,9300,14:28:00
3754081,11823,16:37:00
3754081,12113,16:36:00
3754081,18368,16:43:00
3754081,20789,16:39:00
3754081,23270,16:28:00
3754081,23271,16:34:58
3754081,23273,15:59:00
3754081,23297,16:22:00
3754081,23305,15:35:00
3754081,23417,16:31:47
3754081,23595,15:37:00
3754081,23596,15:57:00
3754081,23667,16:04:00
3754081,23700,16:53:00
3754081,24209,15:54:17
3754081,24619,16:25:04
3754081,9300,16:34:00
3754083,11823,18:17:00
3754083,12113,18:16:00
3754083,18368,18:23:00
3754083,20789,18:19:00
3754083,23270,18:08:00
3754083,23271,18:14:58
3754083,23273,17:39:00
3754083,23297,18:02:00
3754083,23305,17:15:00
3754083,23417,18:11:47
3754083,23595,17:17:00
3754083,23596,17:37:00
3754083,23667,17:44:00
3754083,23700,18:33:00
3754083,24209,17:34:17
3754083,24619,18:05:04
3754083,9300,18:14:00
3754087,11823,22:17:00
3754087,12113,22:16:00
3754087,18368,22:23:00
3754087,20789,22:19:00
3754087,23270,22:10:00
3754087,23271,22:14:58
3754087,23273,21:47:00
3754087,23297,22:06:00
3754087,23417,22:12:31
3754087,23595,21:30:00
3754087,23596,21:45:00
3754087,23667,21:51:00
3754087,23700,22:33:00
3754087,24209,21:42:58
3754087,24619,22:08:03
3754087,9300,22:14:00
3754088,18345,8:13:00
3754088,24308,7:40:00
3754088,24335,8:05:00
3754088,24699,7:51:00
3754088,24723,7:49:00
3754088,24795,8:50:00
3754088,25030,8:18:00
3754088,8908,7:46:00
3754089,18345,10:13:00
3754089,24308,9:40:00
3754089,24335,10:05:00
3754089,24699,9:51:00
3754089,24723,9:49:00
3754089,24795,10:50:00
3754089,25030,10:18:00
3754089,8908,9:46:00
3754094,18345,14:47:00
3754094,24308,15:20:00
3754094,24335,14:55:00
3754094,24722,15:11:00
3754094,24752,15:09:00
3754094,24795,14:10:00
3754094,25031,14:25:00
3754094,8908,15:14:00
3754096,18345,16:47:00
3754096,24308,17:20:00
3754096,24335,16:55:00
3754096,24722,17:11:00
3754096,24752,17:09:00
3754096,24795,16:10:00
3754096,25031,16:25:00
3754096,8908,17:14:00
