trip_id,route_id,stop_code,time
3984973,78786,TX128002,06:50:00
3984973,78786,TX125069,06:46:00
3984973,78786,TX125084,06:48:00
3984973,78786,TX101395,06:44:00
3984973,78786,TX101404,06:40:00
3984973,78786,TX101406,06:42:00
3984974,78786,TX128002,07:10:00
3984974,78786,TX125069,07:06:00
3984974,78786,TX125084,07:08:00
3984974,78786,TX101395,07:04:00
3984974,78786,TX101404,07:00:00
3984974,78786,TX101406,07:02:00
3984975,78786,TX128002,07:30:00
3984975,78786,TX125069,07:26:00
3984975,78786,TX125084,07:28:00
3984975,78786,TX101395,07:24:00
3984975,78786,TX101404,07:20:00
3984975,78786,TX101406,07:22:00
3984976,78786,TX128002,07:50:00
3984976,78786,TX125069,07:46:00
3984976,78786,TX125084,07:48:00
3984976,78786,TX101395,07:44:00
3984976,78786,TX101404,07:40:00
3984976,78786,TX101406,07:42:00
3984977,78786,TX128002,08:10:00
3984977,78786,TX125069,08:06:00
3984977,78786,TX125084,08:08:00
3984977,78786,TX101395,08:04:00
3984977,78786,TX101404,08:00:00
3984977,78786,TX101406,08:02:00
3984978,78786,TX128002,08:30:00
3984978,78786,TX125069,08:26:00
3984978,78786,TX125084,08:28:00
3984978,78786,TX101395,08:24:00
3984978,78786,TX101404,08:20:00
3984978,78786,TX101406,08:22:00
3984979,78786,TX128002,08:50:00
3984979,78786,TX125069,08:46:00
3984979,78786,TX125084,08:48:00
3984979,78786,TX101395,08:44:00
3984979,78786,TX101404,08:40:00
3984979,78786,TX101406,08:42:00
3984980,78786,TX128002,09:10:00
3984980,78786,TX125069,09:06:00
3984980,78786,TX125084,09:08:00
3984980,78786,TX101395,09:04:00
3984980,78786,TX101404,09:00:00
3984980,78786,TX101406,09:02:00
3984981,78786,TX128002,09:30:00
3984981,78786,TX125069,09:26:00
3984981,78786,TX125084,09:28:00
3984981,78786,TX101395,09:24:00
3984981,78786,TX101404,09:20:00
3984981,78786,TX101406,09:22:00
3984982,78786,TX128002,09:50:00
3984982,78786,TX125069,09:46:00
3984982,78786,TX125084,09:48:00
3984982,78786,TX101395,09:44:00
3984982,78786,TX101404,09:40:00
3984982,78786,TX101406,09:42:00
3984983,78786,TX128002,10:10:00
3984983,78786,TX125069,10:06:00
3984983,78786,TX125084,10:08:00
3984983,78786,TX101395,10:04:00
3984983,78786,TX101404,10:00:00
3984983,78786,TX101406,10:02:00
3984984,78786,TX128002,10:30:00
3984984,78786,TX125069,10:26:00
3984984,78786,TX125084,10:28:00
3984984,78786,TX101395,10:24:00
3984984,78786,TX101404,10:20:00
3984984,78786,TX101406,10:22:00
3984985,78786,TX128002,10:50:00
3984985,78786,TX125069,10:46:00
3984985,78786,TX125084,10:48:00
3984985,78786,TX101395,10:44:00
3984985,78786,TX101404,10:40:00
3984985,78786,TX101406,10:42:00
3984986,78786,TX128002,11:10:00
3984986,78786,TX125069,11:06:00
3984986,78786,TX125084,11:08:00
3984986,78786,TX101395,11:04:00
3984986,78786,TX101404,11:00:00
3984986,78786,TX101406,11:02:00
3984987,78786,TX128002,11:30:00
3984987,78786,TX125069,11:26:00
3984987,78786,TX125084,11:28:00
3984987,78786,TX101395,11:24:00
3984987,78786,TX101404,11:20:00
3984987,78786,TX101406,11:22:00
3984988,78786,TX128002,11:50:00
3984988,78786,TX125069,11:46:00
3984988,78786,TX125084,11:48:00
3984988,78786,TX101395,11:44:00
3984988,78786,TX101404,11:40:00
3984988,78786,TX101406,11:42:00
3984989,78786,TX128002,12:10:00
3984989,78786,TX125069,12:06:00
3984989,78786,TX125084,12:08:00
3984989,78786,TX101395,12:04:00
3984989,78786,TX101404,12:00:00
3984989,78786,TX101406,12:02:00
3984990,78786,TX128002,12:30:00
3984990,78786,TX125069,12:26:00
3984990,78786,TX125084,12:28:00
3984990,78786,TX101395,12:24:00
3984990,78786,TX101404,12:20:00
3984990,78786,TX101406,12:22:00
3984991,78786,TX128002,12:50:00
3984991,78786,TX125069,12:46:00
3984991,78786,TX125084,12:48:00
3984991,78786,TX101395,12:44:00
3984991,78786,TX101404,12:40:00
3984991,78786,TX101406,12:42:00
3984992,78786,TX128002,13:10:00
3984992,78786,TX125069,13:06:00
3984992,78786,TX125084,13:08:00
3984992,78786,TX101395,13:04:00
3984992,78786,TX101404,13:00:00
3984992,78786,TX101406,13:02:00
3984993,78786,TX128002,13:30:00
3984993,78786,TX125069,13:26:00
3984993,78786,TX125084,13:28:00
3984993,78786,TX101395,13:24:00
3984993,78786,TX101404,13:20:00
3984993,78786,TX101406,13:22:00
3984994,78786,TX128002,13:50:00
3984994,78786,TX125069,13:46:00
3984994,78786,TX125084,13:48:00
3984994,78786,TX101395,13:44:00
3984994,78786,TX101404,13:40:00
3984994,78786,TX101406,13:42:00
3984995,78786,TX128002,14:10:00
3984995,78786,TX125069,14:06:00
3984995,78786,TX125084,14:08:00
3984995,78786,TX101395,14:04:00
3984995,78786,TX101404,14:00:00
3984995,78786,TX101406,14:02:00
3984996,78786,TX128002,14:30:00
3984996,78786,TX125069,14:26:00
3984996,78786,TX125084,14:28:00
3984996,78786,TX101395,14:24:00
3984996,78786,TX101404,14:20:00
3984996,78786,TX101406,14:22:00
3984997,78786,TX128002,14:50:00
3984997,78786,TX125069,14:46:00
3984997,78786,TX125084,14:48:00
3984997,78786,TX101395,14:44:00
3984997,78786,TX101404,14:40:00
3984997,78786,TX101406,14:42:00
3984998,78786,TX128002,15:10:00
3984998,78786,TX125069,15:06:00
3984998,78786,TX125084,15:08:00
3984998,78786,TX101395,15:04:00
3984998,78786,TX101404,15:00:00
3984998,78786,TX101406,15:02:00
3984999,78786,TX128002,15:30:00
3984999,78786,TX125069,15:26:00
3984999,78786,TX125084,15:28:00
3984999,78786,TX101395,15:24:00
3984999,78786,TX101404,15:20:00
3984999,78786,TX101406,15:22:00
3985000,78786,TX128002,15:50:00
3985000,78786,TX125069,15:46:00
3985000,78786,TX125084,15:48:00
3985000,78786,TX101395,15:44:00
3985000,78786,TX101404,15:40:00
3985000,78786,TX101406,15:42:00
3985001,78786,TX128002,16:10:00
3985001,78786,TX125069,16:06:00
3985001,78786,TX125084,16:08:00
3985001,78786,TX101395,16:04:00
3985001,78786,TX101404,16:00:00
3985001,78786,TX101406,16:02:00
3985002,78786,TX128002,16:30:00
3985002,78786,TX125069,16:26:00
3985002,78786,TX125084,16:28:00
3985002,78786,TX101395,16:24:00
3985002,78786,TX101404,16:20:00
3985002,78786,TX101406,16:22:00
3985003,78786,TX128002,16:50:00
3985003,78786,TX125069,16:46:00
3985003,78786,TX125084,16:48:00
3985003,78786,TX101395,16:44:00
3985003,78786,TX101404,16:40:00
3985003,78786,TX101406,16:42:00
3985004,78786,TX128002,17:10:00
3985004,78786,TX125069,17:06:00
3985004,78786,TX125084,17:08:00
3985004,78786,TX101395,17:04:00
3985004,78786,TX101404,17:00:00
3985004,78786,TX101406,17:02:00
3985005,78786,TX128002,17:30:00
3985005,78786,TX125069,17:26:00
3985005,78786,TX125084,17:28:00
3985005,78786,TX101395,17:24:00
3985005,78786,TX101404,17:20:00
3985005,78786,TX101406,17:22:00
3985006,78786,TX128002,17:50:00
3985006,78786,TX125069,17:46:00
3985006,78786,TX125084,17:48:00
3985006,78786,TX101395,17:44:00
3985006,78786,TX101404,17:40:00
3985006,78786,TX101406,17:42:00
3985007,78786,TX128002,18:10:00
3985007,78786,TX125069,18:06:00
3985007,78786,TX125084,18:08:00
3985007,78786,TX101395,18:04:00
3985007,78786,TX101404,18:00:00
3985007,78786,TX101406,18:02:00
3985008,78786,TX128002,18:30:00
3985008,78786,TX125069,18:26:00
3985008,78786,TX125084,18:28:00
3985008,78786,TX101395,18:24:00
3985008,78786,TX101404,18:20:00
3985008,78786,TX101406,18:22:00
3985009,78786,TX128002,18:50:00
3985009,78786,TX125069,18:46:00
3985009,78786,TX125084,18:48:00
