stop_id,trip_id,time
3754154,21609,15:14:00
3754154,21610,15:31:00
3754154,23077,14:51:00
3754154,25017,15:04:00
3754155,21609,10:14:00
3754155,21610,10:31:00
3754155,23077,9:51:00
3754155,25017,10:04:00
3754156,21609,11:14:00
3754156,21610,11:31:00
3754156,25017,11:04:00
3754157,21609,8:44:00
3754157,21610,9:01:00
3754157,23077,8:21:00
3754157,25017,8:34:00
3754158,21609,12:14:00
3754158,21610,12:31:00
3754158,25017,12:04:00
3754159,10984,20:13:00
3754159,21610,19:58:00
3754159,23077,20:38:00
3754159,23424,20:25:00
3754160,10984,15:13:00
3754160,21610,14:58:00
3754160,23077,15:38:00
3754160,23424,15:25:00
3754161,10984,14:13:00
3754161,21610,13:58:00
3754161,23424,14:28:00
3754162,10984,16:13:00
3754162,21610,15:58:00
3754162,23077,16:38:00
3754162,23424,16:25:00
3754163,10984,17:43:00
3754163,21610,17:28:00
3754163,23077,18:08:00
3754163,23424,17:55:00
