stop_id,trip_id,time
3768359,21609,15:14:00
3768359,21610,15:31:00
3768359,23077,14:51:00
3768359,25017,15:04:00
3768360,21609,11:14:00
3768360,21610,11:31:00
3768360,25017,11:04:00
3768361,21609,12:14:00
3768361,21610,12:31:00
3768361,25017,12:04:00
3768362,21609,10:14:00
3768362,21610,10:31:00
3768362,23077,9:51:00
3768362,25017,10:04:00
3768363,21609,8:44:00
3768363,21610,9:01:00
3768363,23077,8:21:00
3768363,25017,8:34:00
3768368,10984,17:43:00
3768368,21610,17:28:00
3768368,23077,18:08:00
3768368,23424,17:55:00
3768369,10984,14:13:00
3768369,21610,13:58:00
3768369,23424,14:28:00
3768370,10984,15:13:00
3768370,21610,14:58:00
3768370,23077,15:38:00
3768370,23424,15:25:00
3768371,10984,16:13:00
3768371,21610,15:58:00
3768371,23077,16:38:00
3768371,23424,16:25:00
