stop_id,trip_id,[times]
3760852,13095,[6:26:32]
3760852,13192,[6:29:01]
3760852,13872,[6:31:33]
3760852,13873,[6:32:14]
3760852,13874,[6:34:17]
3760852,13875,[6:34:55]
3760852,13881,[6:40:55]
3760852,13907,[6:43:19]
3760852,16460,[6:32:44]
3760852,16463,[6:36:05]
3760852,21929,[6:30:50]
3760852,24402,[6:45:58]
3760852,24626,[6:38:00]
3760852,24628,[6:48:00]
3760852,24818,[6:23:00]
3760852,5502,[6:25:12]
3760852,5504,[6:28:00]
3760853,13095,[6:56:32]
3760853,13192,[6:59:01]
3760853,13872,[7:01:33]
3760853,13873,[7:02:14]
3760853,13874,[7:04:17]
3760853,13875,[7:04:55]
3760853,13881,[7:10:55]
3760853,13907,[7:13:19]
3760853,16460,[7:02:44]
3760853,16463,[7:06:05]
3760853,21929,[7:00:50]
3760853,24402,[7:15:58]
3760853,24626,[7:08:00]
3760853,24628,[7:18:00]
3760853,24818,[6:53:00]
3760853,5502,[6:55:12]
3760853,5504,[6:58:00]
3760854,13095,[7:26:32]
3760854,13192,[7:29:01]
3760854,13872,[7:31:33]
3760854,13873,[7:32:14]
3760854,13874,[7:34:17]
3760854,13875,[7:34:55]
3760854,13881,[7:40:55]
3760854,13907,[7:43:19]
3760854,16460,[7:32:44]
3760854,16463,[7:36:05]
3760854,21929,[7:30:50]
3760854,24402,[7:45:58]
3760854,24626,[7:38:00]
3760854,24628,[7:48:00]
3760854,24818,[7:23:00]
3760854,5502,[7:25:12]
3760854,5504,[7:28:00]
3760855,13095,[7:56:32]
3760855,13192,[7:59:01]
3760855,13872,[8:01:33]
3760855,13873,[8:02:14]
3760855,13874,[8:04:17]
3760855,13875,[8:04:55]
3760855,13881,[8:10:55]
3760855,13907,[8:13:19]
3760855,16460,[8:02:44]
3760855,16463,[8:06:05]
3760855,21929,[8:00:50]
3760855,24402,[8:15:58]
3760855,24626,[8:08:00]
3760855,24628,[8:18:00]
3760855,24818,[7:53:00]
3760855,5502,[7:55:12]
3760855,5504,[7:58:00]
3760856,13095,[8:26:32]
3760856,13192,[8:29:01]
3760856,13872,[8:31:33]
3760856,13873,[8:32:14]
3760856,13874,[8:34:17]
3760856,13875,[8:34:55]
3760856,13881,[8:40:55]
3760856,13907,[8:43:19]
3760856,16460,[8:32:44]
3760856,16463,[8:36:05]
3760856,21929,[8:30:50]
3760856,24402,[8:45:58]
3760856,24626,[8:38:00]
3760856,24628,[8:48:00]
3760856,24818,[8:23:00]
3760856,5502,[8:25:12]
3760856,5504,[8:28:00]
3760857,13095,[8:58:32]
3760857,13192,[9:00:49]
3760857,13872,[9:02:51]
3760857,13873,[9:03:24]
3760857,13874,[9:05:02]
3760857,13875,[9:05:33]
3760857,13881,[9:10:55]
3760857,13907,[9:13:19]
3760857,16460,[9:03:48]
3760857,16463,[9:06:29]
3760857,21929,[9:02:16]
3760857,24402,[9:15:58]
3760857,24626,[9:08:00]
