trip_id,route_id,stop_code,time
3958244,80592,816085,10:47:52
3958244,80592,816086,10:48:35
3958244,80592,801098,10:52:00
3958244,80592,801221,10:45:05
3958244,80592,BB801271,10:41:00
3958244,80592,801285,10:42:01
3958244,80592,830152,10:46:47
3958244,80592,816049,10:49:14
3958244,80592,830192,10:50:02
3958244,80592,830193,10:50:56
3958245,80592,816085,07:47:52
3958245,80592,816086,07:48:35
3958245,80592,801098,07:52:00
3958245,80592,801221,07:45:05
3958245,80592,BB801271,07:41:00
3958245,80592,801285,07:42:01
3958245,80592,830152,07:46:47
3958245,80592,816049,07:49:14
3958245,80592,830192,07:50:02
3958245,80592,830193,07:50:56
3958246,80592,816085,08:17:52
3958246,80592,816086,08:18:35
3958246,80592,801098,08:22:00
3958246,80592,801221,08:15:05
3958246,80592,BB801271,08:11:00
3958246,80592,801285,08:12:01
3958246,80592,830152,08:16:47
3958246,80592,816049,08:19:14
3958246,80592,830192,08:20:02
3958246,80592,830193,08:20:56
3958247,80592,816085,08:47:52
3958247,80592,816086,08:48:35
3958247,80592,801098,08:52:00
3958247,80592,801221,08:45:05
3958247,80592,BB801271,08:41:00
3958247,80592,801285,08:42:01
3958247,80592,830152,08:46:47
3958247,80592,816049,08:49:14
3958247,80592,830192,08:50:02
3958247,80592,830193,08:50:56
3958248,80592,816085,09:17:52
3958248,80592,816086,09:18:35
3958248,80592,801098,09:22:00
3958248,80592,801221,09:15:05
3958248,80592,BB801271,09:11:00
3958248,80592,801285,09:12:01
3958248,80592,830152,09:16:47
3958248,80592,816049,09:19:14
3958248,80592,830192,09:20:02
3958248,80592,830193,09:20:56
3958249,80592,816085,09:47:52
3958249,80592,816086,09:48:35
3958249,80592,801098,09:52:00
3958249,80592,801221,09:45:05
3958249,80592,BB801271,09:41:00
3958249,80592,801285,09:42:01
3958249,80592,830152,09:46:47
3958249,80592,816049,09:49:14
3958249,80592,830192,09:50:02
3958249,80592,830193,09:50:56
3958278,80592,816119,15:35:00
3958278,80592,816043,15:39:10
3958278,80592,816046,15:38:43
3958278,80592,801220,15:41:49
3958278,80592,BB801271,15:47:00
3958278,80592,801284,15:45:09
3958278,80592,830151,15:40:20
3958278,80592,830243,15:37:54
3958278,80592,830257,15:36:01
3958278,80592,830258,15:36:57
3958279,80592,816119,15:05:00
3958279,80592,816043,15:09:10
3958279,80592,816046,15:08:43
3958279,80592,801220,15:11:49
3958279,80592,BB801271,15:17:00
3958279,80592,801284,15:15:09
3958279,80592,830151,15:10:20
3958279,80592,830243,15:07:54
3958279,80592,830257,15:06:01
3958279,80592,830258,15:06:57
3958280,80592,816119,14:05:00
3958280,80592,816043,14:09:10
3958280,80592,816046,14:08:43
3958280,80592,801220,14:11:49
3958280,80592,BB801271,14:17:00
3958280,80592,801284,14:15:09
3958280,80592,830151,14:10:20
3958280,80592,830243,14:07:54
3958280,80592,830257,14:06:01
3958280,80592,830258,14:06:57
3958281,80592,816119,16:05:00
3958281,80592,816043,16:09:10
3958281,80592,816046,16:08:43
3958281,80592,801220,16:11:49
3958281,80592,BB801271,16:17:00
3958281,80592,801284,16:15:09
3958281,80592,830151,16:10:20
3958281,80592,830243,16:07:54
3958281,80592,830257,16:06:01
3958281,80592,830258,16:06:57
