stop_id,trip_id,[times]
3783148,18376,[15:55:00]
3783148,18386,[15:53:00]
3783148,18388,[16:08:00]
3783148,18390,[16:10:00]
3783148,18392,[16:12:00]
3783148,18394,[16:14:00]
3783148,18396,[16:17:00]
3783148,18398,[16:19:00]
3783148,18400,[16:21:00]
3783148,18402,[16:24:00]
3783148,18404,[16:27:00]
3783148,18406,[15:49:00]
3783148,18408,[15:51:00]
3783148,18410,[15:57:00]
3783148,18412,[16:03:00]
3783148,18414,[16:05:00]
3783148,20973,[16:01:00]
3783148,21226,[16:25:00]
3783148,21762,[15:47:00]
3783148,21799,[15:43:00]
3783148,21801,[15:45:00]
3783148,23319,[16:29:00]
3783148,23321,[16:31:00]
3783148,23323,[16:34:00]
3783149,18376,[16:15:00]
3783149,18386,[16:13:00]
3783149,18388,[16:28:00]
3783149,18390,[16:30:00]
3783149,18392,[16:32:00]
3783149,18394,[16:34:00]
3783149,18396,[16:37:00]
3783149,18398,[16:39:00]
3783149,18400,[16:41:00]
3783149,18402,[16:44:00]
3783149,18404,[16:47:00]
3783149,18406,[16:09:00]
3783149,18408,[16:11:00]
3783149,18410,[16:17:00]
3783149,18412,[16:23:00]
3783149,18414,[16:25:00]
3783149,20973,[16:21:00]
3783149,21226,[16:45:00]
3783149,21762,[16:07:00]
3783149,21799,[16:03:00]
3783149,21801,[16:05:00]
3783149,23319,[16:49:00]
3783149,23321,[16:51:00]
3783149,23323,[16:54:00]
3783150,18376,[16:35:00]
3783150,18386,[16:33:00]
3783150,18388,[16:48:00]
3783150,18390,[16:50:00]
3783150,18392,[16:52:00]
3783150,18394,[16:54:00]
3783150,18396,[16:57:00]
3783150,18398,[16:59:00]
3783150,18400,[17:01:00]
3783150,18402,[17:04:00]
3783150,18404,[17:07:00]
3783150,18406,[16:29:00]
3783150,18408,[16:31:00]
3783150,18410,[16:37:00]
3783150,18412,[16:43:00]
3783150,18414,[16:45:00]
3783150,20973,[16:41:00]
3783150,21226,[17:05:00]
3783150,21762,[16:27:00]
3783150,21799,[16:23:00]
3783150,21801,[16:25:00]
3783150,23319,[17:09:00]
3783150,23321,[17:11:00]
3783150,23323,[17:14:00]
3783151,18376,[16:55:00]
3783151,18386,[16:53:00]
3783151,18388,[17:08:00]
3783151,18390,[17:10:00]
3783151,18392,[17:12:00]
3783151,18394,[17:14:00]
3783151,18396,[17:17:00]
3783151,18398,[17:19:00]
3783151,18400,[17:21:00]
3783151,18402,[17:24:00]
3783151,18404,[17:27:00]
3783151,18406,[16:49:00]
3783151,18408,[16:51:00]
3783151,18410,[16:57:00]
3783151,18412,[17:03:00]
3783151,18414,[17:05:00]
3783151,20973,[17:01:00]
3783151,21226,[17:25:00]
3783151,21762,[16:47:00]
3783151,21799,[16:43:00]
3783151,21801,[16:45:00]
3783151,23319,[17:29:00]
3783151,23321,[17:31:00]
3783151,23323,[17:34:00]
3783152,18376,[17:15:00]
3783152,18386,[17:13:00]
3783152,18388,[17:28:00]
3783152,18390,[17:30:00]
3783152,18392,[17:32:00]
3783152,18394,[17:34:00]
3783152,18396,[17:37:00]
3783152,18398,[17:39:00]
3783152,18400,[17:41:00]
3783152,18402,[17:44:00]
3783152,18404,[17:47:00]
3783152,18406,[17:09:00]
3783152,18408,[17:11:00]
3783152,18410,[17:17:00]
3783152,18412,[17:23:00]
3783152,18414,[17:25:00]
3783152,20973,[17:21:00]
3783152,21226,[17:45:00]
3783152,21762,[17:07:00]
3783152,21799,[17:03:00]
3783152,21801,[17:05:00]
3783152,23319,[17:49:00]
3783152,23321,[17:51:00]
3783152,23323,[17:54:00]
3783153,18376,[17:35:00]
3783153,18386,[17:33:00]
3783153,18388,[17:48:00]
3783153,18390,[17:50:00]
3783153,18392,[17:52:00]
3783153,18394,[17:54:00]
3783153,18396,[17:57:00]
3783153,18398,[17:59:00]
3783153,18400,[18:01:00]
3783153,18402,[18:04:00]
3783153,18404,[18:07:00]
3783153,18406,[17:29:00]
3783153,18408,[17:31:00]
3783153,18410,[17:37:00]
3783153,18412,[17:43:00]
3783153,18414,[17:45:00]
3783153,20973,[17:41:00]
3783153,21226,[18:05:00]
3783153,21762,[17:27:00]
3783153,21799,[17:23:00]
3783153,21801,[17:25:00]
3783153,23319,[18:09:00]
3783153,23321,[18:11:00]
3783153,23323,[18:14:00]
3783154,18376,[17:55:00]
3783154,18386,[17:53:00]
3783154,18388,[18:08:00]
3783154,18390,[18:10:00]
3783154,18392,[18:12:00]
3783154,18394,[18:14:00]
3783154,18396,[18:17:00]
3783154,18398,[18:19:00]
3783154,18400,[18:21:00]
3783154,18402,[18:24:00]
3783154,18404,[18:27:00]
3783154,18406,[17:49:00]
3783154,18408,[17:51:00]
3783154,18410,[17:57:00]
3783154,18412,[18:03:00]
3783154,18414,[18:05:00]
3783154,20973,[18:01:00]
3783154,21226,[18:25:00]
3783154,21762,[17:47:00]
3783154,21799,[17:43:00]
3783154,21801,[17:45:00]
3783154,23319,[18:29:00]
3783154,23321,[18:31:00]
3783154,23323,[18:34:00]
3783155,18376,[18:15:00]
3783155,18386,[18:13:00]
3783155,18388,[18:28:00]
3783155,18390,[18:30:00]
3783155,18392,[18:32:00]
3783155,18394,[18:34:00]
3783155,18396,[18:37:00]
3783155,18398,[18:39:00]
3783155,18400,[18:41:00]
3783155,18402,[18:44:00]
3783155,18404,[18:47:00]
3783155,18406,[18:09:00]
3783155,18408,[18:11:00]
3783155,18410,[18:17:00]
3783155,18412,[18:23:00]
3783155,18414,[18:25:00]
3783155,20973,[18:21:00]
3783155,21226,[18:45:00]
3783155,21762,[18:07:00]
3783155,21799,[18:03:00]
3783155,21801,[18:05:00]
3783155,23319,[18:49:00]
3783155,23321,[18:51:00]
3783155,23323,[18:54:00]
3783156,18376,[18:35:00]
3783156,18386,[18:33:00]
3783156,18388,[18:48:00]
3783156,18390,[18:50:00]
3783156,18392,[18:52:00]
3783156,18394,[18:54:00]
3783156,18396,[18:57:00]
3783156,18398,[18:59:00]
3783156,18400,[19:01:00]
3783156,18402,[19:04:00]
3783156,18404,[19:07:00]
3783156,18406,[18:29:00]
3783156,18408,[18:31:00]
3783156,18410,[18:37:00]
3783156,18412,[18:43:00]
3783156,18414,[18:45:00]
3783156,20973,[18:41:00]
3783156,21226,[19:05:00]
3783156,21762,[18:27:00]
3783156,21799,[18:23:00]
3783156,21801,[18:25:00]
3783156,23319,[19:09:00]
3783156,23321,[19:11:00]
3783156,23323,[19:14:00]
3783157,18376,[18:55:00]
3783157,18386,[18:53:00]
3783157,18388,[19:08:00]
3783157,18390,[19:10:00]
3783157,18392,[19:12:00]
3783157,18394,[19:14:00]
3783157,18396,[19:17:00]
3783157,18398,[19:19:00]
3783157,18400,[19:21:00]
3783157,18402,[19:24:00]
3783157,18404,[19:27:00]
3783157,18406,[18:49:00]
3783157,18408,[18:51:00]
3783157,18410,[18:57:00]
3783157,18412,[19:03:00]
3783157,18414,[19:05:00]
3783157,20973,[19:01:00]
3783157,21226,[19:25:00]
3783157,21762,[18:47:00]
3783157,21799,[18:43:00]
3783157,21801,[18:45:00]
3783157,23319,[19:29:00]
3783157,23321,[19:31:00]
3783157,23323,[19:34:00]
3783158,18376,[19:15:00]
3783158,18386,[19:13:00]
3783158,18388,[19:28:00]
3783158,18390,[19:30:00]
3783158,18392,[19:32:00]
3783158,18394,[19:34:00]
3783158,18396,[19:37:00]
3783158,18398,[19:39:00]
3783158,18400,[19:41:00]
3783158,18402,[19:44:00]
3783158,18404,[19:47:00]
3783158,18406,[19:09:00]
3783158,18408,[19:11:00]
3783158,18410,[19:17:00]
3783158,18412,[19:23:00]
3783158,18414,[19:25:00]
3783158,20973,[19:21:00]
3783158,21226,[19:45:00]
3783158,21762,[19:07:00]
3783158,21799,[19:03:00]
3783158,21801,[19:05:00]
3783158,23319,[19:49:00]
3783158,23321,[19:51:00]
3783158,23323,[19:54:00]
3783159,18376,[19:35:00]
3783159,18386,[19:33:00]
3783159,18388,[19:48:00]
3783159,18390,[19:50:00]
3783159,18392,[19:52:00]
3783159,18394,[19:54:00]
3783159,18396,[19:57:00]
3783159,18398,[19:59:00]
3783159,18400,[20:01:00]
3783159,18402,[20:04:00]
3783159,18404,[20:07:00]
3783159,18406,[19:29:00]
3783159,18408,[19:31:00]
3783159,18410,[19:37:00]
3783159,18412,[19:43:00]
3783159,18414,[19:45:00]
3783159,20973,[19:41:00]
3783159,21226,[20:05:00]
3783159,21762,[19:27:00]
3783159,21799,[19:23:00]
3783159,21801,[19:25:00]
3783159,23319,[20:09:00]
3783159,23321,[20:11:00]
3783159,23323,[20:14:00]
3783160,18376,[19:55:00]
3783160,18386,[19:53:00]
3783160,18388,[20:08:00]
3783160,18390,[20:10:00]
3783160,18392,[20:12:00]
3783160,18394,[20:14:00]
3783160,18396,[20:17:00]
3783160,18398,[20:19:00]
3783160,18400,[20:21:00]
3783160,18402,[20:24:00]
3783160,18404,[20:27:00]
3783160,18406,[19:49:00]
3783160,18408,[19:51:00]
3783160,18410,[19:57:00]
3783160,18412,[20:03:00]
3783160,18414,[20:05:00]
3783160,20973,[20:01:00]
3783160,21226,[20:25:00]
3783160,21762,[19:47:00]
3783160,21799,[19:43:00]
3783160,21801,[19:45:00]
3783160,23319,[20:29:00]
3783160,23321,[20:31:00]
3783160,23323,[20:34:00]
3783161,18376,[20:15:00]
3783161,18386,[20:13:00]
3783161,18388,[20:28:00]
3783161,18390,[20:30:00]
3783161,18392,[20:32:00]
3783161,18394,[20:34:00]
3783161,18396,[20:37:00]
3783161,18398,[20:39:00]
3783161,18400,[20:41:00]
3783161,18402,[20:44:00]
3783161,18404,[20:47:00]
3783161,18406,[20:09:00]
3783161,18408,[20:11:00]
3783161,18410,[20:17:00]
3783161,18412,[20:23:00]
3783161,18414,[20:25:00]
3783161,20973,[20:21:00]
3783161,21226,[20:45:00]
3783161,21762,[20:07:00]
3783161,21799,[20:03:00]
3783161,21801,[20:05:00]
3783161,23319,[20:49:00]
3783161,23321,[20:51:00]
3783161,23323,[20:54:00]
3783162,18376,[20:35:00]
3783162,18386,[20:33:00]
3783162,18388,[20:48:00]
3783162,18390,[20:50:00]
3783162,18392,[20:52:00]
3783162,18394,[20:54:00]
3783162,18396,[20:57:00]
3783162,18398,[20:59:00]
3783162,18400,[21:01:00]
3783162,18402,[21:04:00]
3783162,18404,[21:07:00]
3783162,18406,[20:29:00]
3783162,18408,[20:31:00]
3783162,18410,[20:37:00]
3783162,18412,[20:43:00]
3783162,18414,[20:45:00]
3783162,20973,[20:41:00]
3783162,21226,[21:05:00]
3783162,21762,[20:27:00]
3783162,21799,[20:23:00]
3783162,21801,[20:25:00]
3783162,23319,[21:09:00]
3783162,23321,[21:11:00]
3783162,23323,[21:14:00]
3783163,18376,[20:55:00]
3783163,18386,[20:53:00]
3783163,18388,[21:08:00]
3783163,18390,[21:10:00]
3783163,18392,[21:12:00]
3783163,18394,[21:14:00]
3783163,18396,[21:17:00]
3783163,18398,[21:19:00]
3783163,18400,[21:21:00]
3783163,18402,[21:24:00]
3783163,18404,[21:27:00]
3783163,18406,[20:49:00]
3783163,18408,[20:51:00]
3783163,18410,[20:57:00]
3783163,18412,[21:03:00]
3783163,18414,[21:05:00]
3783163,20973,[21:01:00]
3783163,21226,[21:25:00]
3783163,21762,[20:47:00]
3783163,21799,[20:43:00]
3783163,21801,[20:45:00]
3783163,23319,[21:29:00]
3783163,23321,[21:31:00]
3783163,23323,[21:34:00]
3783164,18376,[21:15:00]
3783164,18386,[21:13:00]
3783164,18388,[21:28:00]
3783164,18390,[21:30:00]
3783164,18392,[21:32:00]
3783164,18394,[21:34:00]
3783164,18396,[21:37:00]
3783164,18398,[21:39:00]
3783164,18400,[21:41:00]
3783164,18402,[21:44:00]
3783164,18404,[21:47:00]
3783164,18406,[21:09:00]
3783164,18408,[21:11:00]
3783164,18410,[21:17:00]
3783164,18412,[21:23:00]
3783164,18414,[21:25:00]
3783164,20973,[21:21:00]
3783164,21226,[21:45:00]
3783164,21762,[21:07:00]
3783164,21799,[21:03:00]
3783164,21801,[21:05:00]
3783164,23319,[21:49:00]
3783164,23321,[21:51:00]
3783164,23323,[21:54:00]
3783165,18376,[21:35:00]
3783165,18386,[21:33:00]
3783165,18388,[21:48:00]
3783165,18390,[21:50:00]
3783165,18392,[21:52:00]
3783165,18394,[21:54:00]
3783165,18396,[21:57:00]
3783165,18398,[21:59:00]
3783165,18400,[22:01:00]
3783165,18402,[22:04:00]
3783165,18404,[22:07:00]
3783165,18406,[21:29:00]
3783165,18408,[21:31:00]
3783165,18410,[21:37:00]
3783165,18412,[21:43:00]
3783165,18414,[21:45:00]
3783165,20973,[21:41:00]
3783165,21226,[22:05:00]
3783165,21762,[21:27:00]
3783165,21799,[21:23:00]
3783165,21801,[21:25:00]
3783165,23319,[22:09:00]
3783165,23321,[22:11:00]
3783165,23323,[22:14:00]
3783166,18376,[21:55:00]
3783166,18386,[21:53:00]
3783166,18388,[22:08:00]
3783166,18390,[22:10:00]
3783166,18392,[22:12:00]
3783166,18394,[22:14:00]
3783166,18396,[22:17:00]
3783166,18398,[22:19:00]
3783166,18400,[22:21:00]
3783166,18402,[22:24:00]
3783166,18404,[22:27:00]
3783166,18406,[21:49:00]
3783166,18408,[21:51:00]
3783166,18410,[21:57:00]
3783166,18412,[22:03:00]
3783166,18414,[22:05:00]
3783166,20973,[22:01:00]
3783166,21226,[22:25:00]
3783166,21762,[21:47:00]
3783166,21799,[21:43:00]
3783166,21801,[21:45:00]
3783166,23319,[22:29:00]
3783166,23321,[22:31:00]
3783166,23323,[22:34:00]
3783167,18376,[22:15:00]
3783167,18386,[22:13:00]
3783167,18388,[22:28:00]
3783167,18390,[22:30:00]
3783167,18392,[22:32:00]
3783167,18394,[22:34:00]
3783167,18396,[22:37:00]
3783167,18398,[22:39:00]
3783167,18400,[22:41:00]
3783167,18402,[22:44:00]
3783167,18404,[22:47:00]
3783167,18406,[22:09:00]
3783167,18408,[22:11:00]
3783167,18410,[22:17:00]
3783167,18412,[22:23:00]
3783167,18414,[22:25:00]
3783167,20973,[22:21:00]
3783167,21226,[22:45:00]
3783167,21762,[22:07:00]
3783167,21799,[22:03:00]
3783167,21801,[22:05:00]
3783167,23319,[22:49:00]
3783167,23321,[22:51:00]
3783167,23323,[22:54:00]
3783172,18398,[15:59:00]
3783172,18400,[16:01:00]
3783172,18402,[16:04:00]
3783172,18404,[16:07:00]
3783172,21226,[16:05:00]
3783172,23319,[16:09:00]
3783172,23321,[16:11:00]
3783172,23323,[16:14:00]
3783230,18385,[15:22:00]
3783230,18405,[15:26:00]
3783230,18407,[15:24:00]
3783230,18409,[15:18:00]
3783230,18411,[15:12:00]
3783230,18413,[15:10:00]
3783230,18415,[15:20:00]
3783230,20982,[15:14:00]
3783230,21761,[15:32:00]
3783230,21763,[15:30:00]
3783230,21800,[15:28:00]
3783231,18385,[15:42:00]
3783231,18405,[15:46:00]
3783231,18407,[15:44:00]
3783231,18409,[15:38:00]
3783231,18411,[15:32:00]
3783231,18413,[15:30:00]
3783231,18415,[15:40:00]
3783231,20982,[15:34:00]
3783231,21761,[15:52:00]
3783231,21763,[15:50:00]
3783231,21800,[15:48:00]
3783232,18385,[16:02:00]
3783232,18405,[16:06:00]
3783232,18407,[16:04:00]
3783232,18409,[15:58:00]
