stop_id,trip_id,time
3767355,13330,17:06:20
3767355,13485,16:59:49
3767355,13560,16:57:27
3767355,13566,16:59:01
3767355,15848,17:00:23
3767355,15851,17:01:26
3767355,17486,17:03:05
3767355,17490,17:04:42
3767355,17493,17:05:40
3767355,17494,17:07:46
3767355,17499,17:09:57
3767355,18294,17:13:00
3767355,18299,16:55:00
3767355,18301,17:03:33
3767355,18304,16:34:28
3767355,18305,16:35:41
3767355,18342,16:32:05
3767355,2149,16:50:00
3767355,22855,17:21:00
3767355,24864,16:30:00
3767358,13330,16:36:20
3767358,13485,16:29:49
3767358,13560,16:27:27
3767358,13566,16:29:01
3767358,15848,16:30:23
3767358,15851,16:31:26
3767358,17486,16:33:05
3767358,17490,16:34:42
3767358,17493,16:35:40
3767358,17494,16:37:46
3767358,17499,16:39:57
3767358,18294,16:43:00
3767358,18299,16:25:00
3767358,18301,16:33:33
3767358,18304,16:04:28
3767358,18305,16:05:41
3767358,18342,16:02:05
3767358,2149,16:20:00
3767358,22855,16:51:00
3767358,24864,16:00:00
3767361,13330,16:06:20
3767361,13485,15:59:49
3767361,13560,15:57:27
3767361,13566,15:59:01
3767361,15848,16:00:23
3767361,15851,16:01:26
3767361,17486,16:03:05
3767361,17490,16:04:42
3767361,17493,16:05:40
3767361,17494,16:07:46
3767361,17499,16:09:57
3767361,18294,16:13:00
3767361,18299,15:55:00
3767361,18301,16:03:33
3767361,18304,15:34:28
3767361,18305,15:35:41
3767361,18342,15:32:05
3767361,2149,15:50:00
3767361,22855,16:21:00
3767361,24864,15:30:00
3767365,13330,15:36:20
3767365,13485,15:29:49
3767365,13560,15:27:27
3767365,13566,15:29:01
3767365,15848,15:30:23
3767365,15851,15:31:26
3767365,17486,15:33:05
3767365,17490,15:34:42
3767365,17493,15:35:40
3767365,17494,15:37:46
3767365,17499,15:39:57
3767365,18294,15:43:00
3767365,18299,15:25:00
3767365,18301,15:33:33
3767365,18304,15:04:28
3767365,18305,15:05:41
3767365,18342,15:02:05
3767365,2149,15:20:00
3767365,22855,15:51:00
3767365,24864,15:00:00
