stop_id,trip_id,[times]
3754047,11234,[7:07:01]
3754047,18368,[7:00:00]
3754047,18608,[7:03:00]
3754047,22527,[7:05:00]
3754047,23297,[7:19:00]
3754047,23303,[7:13:00]
3754047,23693,[7:37:00]
3754047,23700,[6:52:00]
3754047,24618,[7:16:08]
3754047,24795,[7:59:00]
3754047,9248,[7:06:00]
3754047,9249,[7:08:00]
3754047,9252,[7:09:37]
3754049,11234,[6:11:01]
3754049,18368,[6:05:00]
3754049,18608,[6:07:00]
3754049,22527,[6:09:00]
3754049,23297,[6:22:00]
3754049,23303,[6:16:00]
3754049,23693,[6:38:00]
3754049,23700,[5:57:00]
3754049,24618,[6:19:08]
3754049,24795,[7:00:00]
3754049,9248,[6:10:00]
3754049,9249,[6:12:00]
3754049,9252,[6:13:17]
3754050,11234,[7:45:01]
3754050,18368,[7:38:00]
3754050,18608,[7:41:00]
3754050,22527,[7:43:00]
3754050,23297,[7:57:00]
3754050,23303,[7:51:00]
3754050,23693,[8:15:00]
3754050,23700,[7:30:00]
3754050,24618,[7:54:08]
3754050,24795,[8:37:00]
3754050,9248,[7:44:00]
3754050,9249,[7:46:00]
3754050,9252,[7:47:37]
3754052,23297,[7:57:00]
3754052,24795,[8:37:00]
3754053,11234,[9:07:01]
3754053,18368,[9:00:00]
3754053,18608,[9:03:00]
3754053,22527,[9:05:00]
3754053,23297,[9:19:00]
3754053,23303,[9:13:00]
3754053,23693,[9:37:00]
3754053,23700,[8:52:00]
3754053,24618,[9:16:08]
3754053,24795,[9:59:00]
3754053,9248,[9:06:00]
3754053,9249,[9:08:00]
3754053,9252,[9:09:37]
3754056,11823,[16:11:00]
3754056,12113,[16:10:00]
3754056,18368,[16:18:00]
3754056,20789,[16:14:00]
3754056,23270,[16:02:00]
3754056,23271,[16:08:58]
3754056,23297,[15:56:00]
3754056,23417,[16:05:47]
3754056,23693,[15:38:00]
3754056,23700,[16:28:00]
3754056,24619,[15:58:58]
3754056,24795,[15:20:00]
3754056,9299,[16:07:27]
3754056,9300,[16:08:00]
3754058,11823,[16:11:00]
3754058,12113,[16:10:00]
3754058,18368,[16:18:00]
3754058,20789,[16:14:00]
3754058,23270,[16:02:00]
3754058,23271,[16:08:58]
3754058,23297,[15:56:00]
3754058,23417,[16:05:47]
3754058,23693,[15:38:00]
3754058,23700,[16:28:00]
3754058,24619,[15:58:58]
3754058,24795,[15:20:00]
3754058,9299,[16:07:27]
3754058,9300,[16:08:00]
3754059,11823,[17:36:00]
3754059,12113,[17:35:00]
3754059,18368,[17:43:00]
3754059,20789,[17:39:00]
3754059,23270,[17:27:00]
3754059,23271,[17:33:58]
3754059,23297,[17:21:00]
3754059,23417,[17:30:47]
3754059,23693,[17:03:00]
3754059,23700,[17:53:00]
3754059,24619,[17:23:58]
3754059,24795,[16:45:00]
3754059,9299,[17:32:27]
3754059,9300,[17:33:00]
3754061,11823,[17:36:00]
3754061,12113,[17:35:00]
3754061,18368,[17:43:00]
3754061,20789,[17:39:00]
3754061,23270,[17:27:00]
3754061,23271,[17:33:58]
3754061,23297,[17:21:00]
3754061,23417,[17:30:47]
3754061,23693,[17:03:00]
3754061,23700,[17:53:00]
3754061,24619,[17:23:58]
3754061,24795,[16:45:00]
3754061,9299,[17:32:27]
3754061,9300,[17:33:00]
3754062,11823,[18:21:00]
3754062,12113,[18:20:00]
3754062,18368,[18:28:00]
3754062,20789,[18:24:00]
3754062,23270,[18:12:00]
3754062,23271,[18:18:58]
3754062,23297,[18:06:00]
3754062,23417,[18:15:47]
3754062,23693,[17:48:00]
3754062,23700,[18:38:00]
3754062,24619,[18:08:58]
3754062,24795,[17:30:00]
3754062,9299,[18:17:27]
3754062,9300,[18:18:00]
3754064,23272,[8:09:00]
3754064,23297,[7:47:00]
3754064,23305,[8:40:00]
3754064,23596,[8:11:00]
3754064,23667,[8:04:00]
3754064,24214,[8:13:46]
3754065,23272,[9:09:00]
3754065,23297,[8:47:00]
3754065,23305,[9:40:00]
3754065,23596,[9:11:00]
3754065,23667,[9:04:00]
3754065,24214,[9:13:46]
3754067,11234,[7:01:01]
3754067,18368,[6:55:00]
3754067,18608,[6:57:00]
3754067,22527,[6:59:00]
3754067,23272,[7:31:00]
3754067,23297,[7:10:00]
3754067,23303,[7:06:00]
3754067,23305,[7:57:00]
3754067,23596,[7:33:00]
3754067,23667,[7:26:00]
3754067,23700,[6:47:00]
3754067,24214,[7:35:22]
3754067,24618,[7:07:59]
3754067,9248,[7:00:00]
3754067,9249,[7:02:00]
3754067,9252,[7:03:17]
3754069,11234,[7:37:01]
3754069,18368,[7:30:00]
3754069,18608,[7:33:00]
3754069,22527,[7:35:00]
3754069,23272,[8:09:00]
3754069,23297,[7:47:00]
3754069,23303,[7:42:00]
3754069,23305,[8:40:00]
3754069,23596,[8:11:00]
3754069,23667,[8:04:00]
3754069,23700,[7:22:00]
3754069,24214,[8:12:45]
3754069,24618,[7:44:29]
3754069,9248,[7:36:00]
3754069,9249,[7:38:00]
3754069,9252,[7:39:17]
3754070,11234,[8:37:01]
3754070,18368,[8:30:00]
3754070,18608,[8:33:00]
3754070,22527,[8:35:00]
3754070,23272,[9:09:00]
3754070,23297,[8:47:00]
3754070,23303,[8:42:00]
3754070,23305,[9:40:00]
3754070,23596,[9:11:00]
3754070,23667,[9:04:00]
3754070,23700,[8:22:00]
3754070,24214,[9:12:45]
3754070,24618,[8:44:29]
3754070,9248,[8:36:00]
3754070,9249,[8:38:00]
3754070,9252,[8:39:17]
3754073,11234,[12:07:01]
3754073,18368,[12:00:00]
3754073,18608,[12:03:00]
3754073,22527,[12:05:00]
3754073,23272,[12:39:00]
3754073,23297,[12:17:00]
3754073,23303,[12:12:00]
3754073,23305,[13:10:00]
3754073,23596,[12:41:00]
3754073,23667,[12:34:00]
3754073,23700,[11:52:00]
3754073,24214,[12:42:45]
3754073,24618,[12:14:29]
3754073,9248,[12:06:00]
3754073,9249,[12:08:00]
3754073,9252,[12:09:17]
3754074,11234,[14:07:01]
3754074,18368,[14:00:00]
3754074,18608,[14:03:00]
3754074,22527,[14:05:00]
3754074,23272,[14:39:00]
3754074,23297,[14:17:00]
3754074,23303,[14:12:00]
3754074,23305,[15:10:00]
3754074,23596,[14:41:00]
3754074,23667,[14:34:00]
3754074,23700,[13:52:00]
3754074,24214,[14:42:45]
3754074,24618,[14:14:29]
3754074,9248,[14:06:00]
3754074,9249,[14:08:00]
3754074,9252,[14:09:17]
3754076,18368,[16:10:00]
3754076,23297,[16:20:00]
3754076,23305,[17:00:00]
3754076,23667,[16:35:00]
3754076,23700,[16:02:00]
3754078,11823,[14:31:00]
3754078,12113,[14:30:00]
3754078,18368,[14:37:00]
3754078,20789,[14:33:00]
3754078,23270,[14:22:00]
3754078,23271,[14:28:58]
3754078,23273,[13:54:00]
3754078,23297,[14:17:00]
3754078,23305,[13:30:00]
3754078,23417,[14:25:47]
3754078,23595,[13:32:00]
3754078,23596,[13:52:00]
3754078,23667,[13:59:00]
3754078,23700,[14:47:00]
3754078,24209,[13:49:17]
3754078,24619,[14:19:33]
3754078,9300,[14:28:00]
3754080,11823,[16:37:00]
3754080,12113,[16:36:00]
3754080,18368,[16:43:00]
3754080,20789,[16:39:00]
3754080,23270,[16:28:00]
3754080,23271,[16:34:58]
3754080,23273,[15:59:00]
3754080,23297,[16:22:00]
3754080,23305,[15:35:00]
3754080,23417,[16:31:47]
3754080,23595,[15:37:00]
3754080,23596,[15:57:00]
3754080,23667,[16:04:00]
3754080,23700,[16:53:00]
3754080,24209,[15:54:17]
3754080,24619,[16:25:04]
3754080,9300,[16:34:00]
3754082,11823,[16:37:00]
3754082,12113,[16:36:00]
3754082,18368,[16:43:00]
3754082,20789,[16:39:00]
3754082,23270,[16:28:00]
3754082,23271,[16:34:58]
3754082,23273,[15:59:00]
3754082,23297,[16:22:00]
3754082,23305,[15:35:00]
3754082,23417,[16:31:47]
3754082,23595,[15:37:00]
3754082,23596,[15:57:00]
3754082,23667,[16:04:00]
3754082,23700,[16:53:00]
3754082,24209,[15:54:17]
3754082,24619,[16:25:04]
3754082,9300,[16:34:00]
3754084,11823,[18:17:00]
3754084,12113,[18:16:00]
3754084,18368,[18:23:00]
3754084,20789,[18:19:00]
3754084,23270,[18:08:00]
3754084,23271,[18:14:58]
3754084,23273,[17:39:00]
3754084,23297,[18:02:00]
3754084,23305,[17:15:00]
3754084,23417,[18:11:47]
3754084,23595,[17:17:00]
3754084,23596,[17:37:00]
3754084,23667,[17:44:00]
3754084,23700,[18:33:00]
3754084,24209,[17:34:17]
3754084,24619,[18:05:04]
3754084,9300,[18:14:00]
3754085,11823,[18:17:00]
3754085,12113,[18:16:00]
3754085,18368,[18:23:00]
3754085,20789,[18:19:00]
3754085,23270,[18:08:00]
3754085,23271,[18:14:58]
3754085,23273,[17:39:00]
3754085,23297,[18:02:00]
3754085,23305,[17:15:00]
3754085,23417,[18:11:47]
3754085,23595,[17:17:00]
3754085,23596,[17:37:00]
3754085,23667,[17:44:00]
3754085,23700,[18:33:00]
3754085,24209,[17:34:17]
3754085,24619,[18:05:04]
3754085,9300,[18:14:00]
3754086,11823,[22:17:00]
3754086,12113,[22:16:00]
3754086,18368,[22:23:00]
3754086,20789,[22:19:00]
3754086,23270,[22:10:00]
3754086,23271,[22:14:58]
3754086,23273,[21:47:00]
3754086,23297,[22:06:00]
3754086,23417,[22:12:31]
3754086,23595,[21:30:00]
3754086,23596,[21:45:00]
3754086,23667,[21:51:00]
3754086,23700,[22:33:00]
3754086,24209,[21:42:58]
3754086,24619,[22:08:03]
3754086,9300,[22:14:00]
3754090,18345,[8:13:00]
3754090,24335,[8:05:00]
3754090,24699,[7:51:00]
3754090,24723,[7:49:00]
3754090,24795,[8:50:00]
3754090,25030,[8:18:00]
3754090,8908,[7:46:00]
3754091,18345,[10:13:00]
3754091,24335,[10:05:00]
3754091,24699,[9:51:00]
3754091,24723,[9:49:00]
3754091,24795,[10:50:00]
3754091,25030,[10:18:00]
3754091,8908,[9:46:00]
3754092,18345,[8:13:00]
3754092,24308,[7:40:00]
3754092,24335,[8:05:00]
3754092,24699,[7:51:00]
3754092,24723,[7:49:00]
3754092,24795,[8:50:00]
3754092,25030,[8:18:00]
3754092,8908,[7:46:00]
3754093,18345,[10:13:00]
3754093,24308,[9:40:00]
3754093,24335,[10:05:00]
3754093,24699,[9:51:00]
3754093,24723,[9:49:00]
3754093,24795,[10:50:00]
3754093,25030,[10:18:00]
3754093,8908,[9:46:00]
3754095,18345,[14:47:00]
3754095,24308,[15:20:00]
3754095,24335,[14:55:00]
3754095,24722,[15:11:00]
3754095,24752,[15:09:00]
3754095,24795,[14:10:00]
3754095,25031,[14:25:00]
3754095,8908,[15:14:00]
3754097,18345,[16:47:00]
3754097,24308,[17:20:00]
3754097,24335,[16:55:00]
3754097,24722,[17:11:00]
3754097,24752,[17:09:00]
3754097,24795,[16:10:00]
3754097,25031,[16:25:00]
3754097,8908,[17:14:00]
3754098,18345,[14:47:00]
3754098,24308,[15:20:00]
3754098,24335,[14:55:00]
3754098,24722,[15:11:00]
3754098,24752,[15:09:00]
3754098,24795,[14:10:00]
3754098,25031,[14:25:00]
3754098,8908,[15:14:00]
3754099,18345,[16:47:00]
3754099,24308,[17:20:00]
3754099,24335,[16:55:00]
3754099,24722,[17:11:00]
3754099,24752,[17:09:00]
3754099,24795,[16:10:00]
3754099,25031,[16:25:00]
3754099,8908,[17:14:00]
