stop_id,trip_id,[times]
3754164,21609,[15:14:00]
3754164,21610,[15:31:00]
3754164,23077,[14:51:00]
3754164,25017,[15:04:00]
3754165,21609,[8:44:00]
3754165,21610,[9:01:00]
3754165,23077,[8:21:00]
3754165,25017,[8:34:00]
3754166,21609,[10:14:00]
3754166,21610,[10:31:00]
3754166,23077,[9:51:00]
3754166,25017,[10:04:00]
3754167,21609,[12:14:00]
3754167,21610,[12:31:00]
3754167,25017,[12:04:00]
3754168,21609,[11:14:00]
3754168,21610,[11:31:00]
3754168,25017,[11:04:00]
3754173,10984,[15:13:00]
3754173,21610,[14:58:00]
3754173,23077,[15:38:00]
3754173,23424,[15:25:00]
3754174,10984,[14:13:00]
3754174,21610,[13:58:00]
3754174,23424,[14:28:00]
3754175,10984,[16:13:00]
3754175,21610,[15:58:00]
3754175,23077,[16:38:00]
3754175,23424,[16:25:00]
3754176,10984,[17:43:00]
3754176,21610,[17:28:00]
3754176,23077,[18:08:00]
3754176,23424,[17:55:00]
