trip_id,route_id,stop_code,time
3754356,76912,616151,8:07:54
3754356,76912,616097,8:08:53
3754356,76912,616098,8:09:25
3754356,76912,623240,7:54:59
3754356,76912,623242,7:55:53
3754356,76912,616032,8:12:36
3754356,76912,623223,7:50:00
3754356,76912,623337,7:53:18
3754356,76912,616027,8:08:28
3754356,76912,629080,7:45:13
3754356,76912,629086,7:42:51
3754356,76912,623353,8:05:59
3754356,76912,623354,8:06:25
3754356,76912,623358,7:59:10
3754356,76912,623359,7:59:32
3754356,76912,623360,8:00:03
3754356,76912,623361,8:01:22
3754356,76912,623363,8:02:23
3754356,76912,623364,8:02:37
3754356,76912,623365,8:03:12
3754356,76912,623366,8:03:32
3754356,76912,623367,8:04:03
3754356,76912,623385,8:00:47
3754356,76912,616125,8:10:07
3754356,76912,616126,8:10:34
3754356,76912,616127,8:11:02
3754356,76912,616129,8:11:31
3754356,76912,623398,8:05:12
3754356,76912,623408,7:57:00
3754356,76912,623409,7:58:00
3754356,76912,623415,7:58:35
3754356,76912,623420,8:07:00
3754356,76912,624024,7:52:00
3754356,76912,629249,7:44:00
3754356,76912,601105,7:46:55
3754356,76912,601104,7:48:25
3754356,76912,636103,8:02:00
3754356,76912,636130,8:17:55
3754356,76912,636169,8:21:00
3754356,76912,636173,8:19:47
3754356,76912,629159,7:41:00
3754356,76912,629162,7:46:06
3754356,76912,623238,7:54:00
3754356,76912,616095,8:08:16
3754356,76912,616031,8:12:00
3754356,76912,616034,8:14:00
3754357,76912,616151,9:42:54
3754357,76912,616097,9:43:53
3754357,76912,616098,9:44:25
3754357,76912,623240,9:29:59
3754357,76912,623242,9:30:53
3754357,76912,616032,9:47:36
3754357,76912,623223,9:25:00
3754357,76912,623337,9:28:18
3754357,76912,616027,9:43:28
3754357,76912,629080,9:20:13
3754357,76912,629086,9:17:51
3754357,76912,623353,9:40:59
3754357,76912,623354,9:41:25
3754357,76912,623358,9:34:10
3754357,76912,623359,9:34:32
3754357,76912,623360,9:35:03
3754357,76912,623361,9:36:22
3754357,76912,623363,9:37:23
3754357,76912,623364,9:37:37
3754357,76912,623365,9:38:12
3754357,76912,623366,9:38:32
3754357,76912,623367,9:39:03
3754357,76912,623385,9:35:47
3754357,76912,616125,9:45:07
3754357,76912,616126,9:45:34
3754357,76912,616127,9:46:02
3754357,76912,616129,9:46:31
3754357,76912,623398,9:40:12
3754357,76912,623408,9:32:00
3754357,76912,623409,9:33:00
3754357,76912,623415,9:33:35
3754357,76912,623420,9:42:00
3754357,76912,624024,9:27:00
3754357,76912,629249,9:19:00
3754357,76912,601105,9:21:55
3754357,76912,601104,9:23:25
3754357,76912,636103,9:37:00
3754357,76912,636130,9:52:55
3754357,76912,636169,9:56:00
3754357,76912,636173,9:54:47
3754357,76912,629159,9:16:00
3754357,76912,629162,9:21:06
3754357,76912,623238,9:29:00
3754357,76912,616095,9:43:16
3754357,76912,616031,9:47:00
3754357,76912,616034,9:49:00
3754366,76912,616151,7:36:54
3754366,76912,616097,7:37:53
3754366,76912,616098,7:38:25
3754366,76912,623240,7:23:59
3754366,76912,623242,7:24:53
3754366,76912,616032,7:41:36
3754366,76912,623223,7:20:00
3754366,76912,623337,7:22:18
3754366,76912,616027,7:37:28
3754366,76912,629080,7:15:13
3754366,76912,629086,7:12:51
3754366,76912,623353,7:34:59
3754366,76912,623354,7:35:25
3754366,76912,623358,7:28:10
3754366,76912,623359,7:28:32
3754366,76912,623360,7:29:03
3754366,76912,623361,7:30:22
3754366,76912,623363,7:31:23
3754366,76912,623364,7:31:37
3754366,76912,623365,7:32:12
