stop_id,trip_id,[times]
3716884,13383,[9:52:53]
3716884,13592,[10:00:15]
3716884,13594,[10:01:17]
3716884,13595,[10:01:41]
3716884,13597,[10:02:14]
3716884,15134,[9:52:00]
3716884,15824,[10:14:57]
3716884,15825,[10:15:11]
3716884,17168,[9:47:43]
3716884,17171,[9:48:53]
3716884,17176,[9:54:50]
3716884,17178,[9:55:45]
3716884,17180,[9:56:41]
3716884,17185,[9:59:00]
3716884,18293,[9:45:00]
3716884,18299,[10:06:00]
3716884,18321,[10:20:00]
3716884,18323,[10:40:00]
3716884,18325,[10:45:00]
3716884,18326,[10:47:42]
3716884,18327,[10:49:08]
3716884,18328,[10:50:00]
3716884,18336,[10:55:00]
3716884,20912,[9:58:08]
3716884,21293,[10:35:00]
3716884,21485,[10:14:28]
3716884,22971,[10:03:34]
3716884,23642,[9:46:37]
3716884,24476,[10:14:00]
3716885,13383,[9:37:53]
3716885,13592,[9:45:15]
3716885,13594,[9:46:17]
3716885,13595,[9:46:41]
3716885,13597,[9:47:14]
3716885,15134,[9:37:00]
3716885,15824,[9:59:57]
3716885,15825,[10:00:11]
3716885,17168,[9:32:43]
3716885,17171,[9:33:53]
3716885,17176,[9:39:50]
3716885,17178,[9:40:45]
3716885,17180,[9:41:41]
3716885,17185,[9:44:00]
3716885,18293,[9:30:00]
3716885,18299,[9:51:00]
3716885,18321,[10:05:00]
3716885,18323,[10:25:00]
3716885,18325,[10:30:00]
3716885,18326,[10:32:42]
3716885,18327,[10:34:08]
3716885,18328,[10:35:00]
3716885,18336,[10:40:00]
3716885,20912,[9:43:08]
3716885,21293,[10:20:00]
3716885,21485,[9:59:28]
3716885,22971,[9:48:34]
3716885,23642,[9:31:37]
3716885,24476,[9:59:00]
3716894,13330,[17:29:56]
3716894,13485,[17:23:04]
3716894,13560,[17:20:35]
3716894,13566,[17:22:14]
3716894,15128,[17:31:53]
3716894,15129,[17:32:23]
3716894,15848,[17:23:40]
3716894,15851,[17:24:46]
3716894,17486,[17:26:30]
3716894,17490,[17:28:13]
3716894,17493,[17:29:14]
3716894,17499,[17:36:52]
3716894,18293,[17:40:00]
3716894,18299,[17:18:00]
3716894,18301,[17:27:00]
3716894,18320,[17:12:00]
3716894,18321,[17:05:00]
3716894,18323,[16:45:00]
3716894,18324,[16:47:25]
3716894,21293,[16:50:00]
3716894,21424,[17:11:29]
3716894,24302,[17:10:37]
3716895,13330,[17:14:56]
3716895,13485,[17:08:04]
3716895,13560,[17:05:35]
3716895,13566,[17:07:14]
3716895,15128,[17:16:53]
3716895,15129,[17:17:23]
3716895,15848,[17:08:40]
3716895,15851,[17:09:46]
3716895,17486,[17:11:30]
3716895,17490,[17:13:13]
3716895,17493,[17:14:14]
3716895,17499,[17:21:52]
3716895,18293,[17:25:00]
3716895,18299,[17:03:00]
3716895,18301,[17:12:00]
3716895,18320,[16:57:00]
3716895,18321,[16:50:00]
3716895,18323,[16:30:00]
3716895,18324,[16:32:22]
3716895,18328,[16:20:00]
3716895,18330,[16:17:54]
3716895,18331,[16:20:50]
3716895,18332,[16:22:20]
3716895,18333,[16:25:00]
3716895,18336,[16:15:00]
3716895,18337,[16:16:26]
3716895,21293,[16:35:00]
3716895,21424,[16:56:28]
3716895,24231,[16:17:14]
3716895,24302,[16:55:35]
3716896,13330,[16:39:56]
3716896,13485,[16:33:04]
3716896,13560,[16:30:35]
3716896,13566,[16:32:14]
3716896,15128,[16:41:53]
3716896,15129,[16:42:23]
3716896,15848,[16:33:40]
3716896,15851,[16:34:46]
3716896,17486,[16:36:30]
3716896,17490,[16:38:13]
3716896,17493,[16:39:14]
3716896,17499,[16:46:52]
3716896,18293,[16:50:00]
3716896,18299,[16:28:00]
3716896,18301,[16:37:00]
3716896,18320,[16:22:00]
3716896,18321,[16:15:00]
3716896,18323,[15:55:00]
3716896,18324,[15:57:25]
3716896,21293,[16:00:00]
3716896,21424,[16:21:29]
3716896,24302,[16:20:37]
3716897,13330,[16:44:56]
3716897,13485,[16:38:04]
3716897,13560,[16:35:35]
3716897,13566,[16:37:14]
3716897,15128,[16:46:53]
3716897,15129,[16:47:23]
3716897,15848,[16:38:40]
3716897,15851,[16:39:46]
3716897,17486,[16:41:30]
3716897,17490,[16:43:13]
3716897,17493,[16:44:14]
3716897,17499,[16:51:52]
3716897,18293,[16:55:00]
3716897,18299,[16:33:00]
3716897,18301,[16:42:00]
3716897,18320,[16:27:00]
3716897,18321,[16:20:00]
3716897,18323,[16:00:00]
3716897,18324,[16:02:22]
3716897,18328,[15:50:00]
3716897,18330,[15:47:54]
3716897,18331,[15:50:50]
3716897,18332,[15:52:20]
3716897,18333,[15:55:00]
3716897,18336,[15:45:00]
3716897,18337,[15:46:26]
3716897,21293,[16:05:00]
3716897,21424,[16:26:28]
3716897,24231,[15:47:14]
3716897,24302,[16:25:35]
3716898,13330,[16:14:56]
3716898,13485,[16:08:04]
3716898,13560,[16:05:35]
3716898,13566,[16:07:14]
3716898,15128,[16:16:53]
3716898,15129,[16:17:23]
3716898,15848,[16:08:40]
3716898,15851,[16:09:46]
3716898,17486,[16:11:30]
3716898,17490,[16:13:13]
3716898,17493,[16:14:14]
3716898,17499,[16:21:52]
3716898,18293,[16:25:00]
3716898,18299,[16:03:00]
3716898,18301,[16:12:00]
3716898,18320,[15:57:00]
3716898,18321,[15:50:00]
3716898,18323,[15:30:00]
3716898,18324,[15:32:25]
3716898,21293,[15:35:00]
3716898,21424,[15:56:29]
3716898,24302,[15:55:37]
